ID,Name,Start_Date,End_Date,Price_Model,Total_Limit_Salesforce,Campaign_Delivery_Status,Daily_Limit,Total_Limit,Impressions,CVVs,%Delivered,VCR,Vlook_up,Account_Manager,Placement_IDs,Analyst,Booked_Limit
299873,ACLAUS - Starcom USH - Mcdonalds - McCrispyQ3 - Sep 8 - Oct 5,09/09/2025,05/10/2025,CPM,,Delivered in Full,"194,444","5,250,000","5,250,436","4,723,955",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299823,ACBE - SpaceFwd - Aldi BE - Emoji 2025 - Aug27 - Oct4,08/26/2025,04/10/2025,CPCV,"339,285",Delivered in Full,"60,000","1,436,523","1,564,898","1,436,666",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299966,ACTR - Speed Medya - BiM - Oct2 - Oct3,02/10/2025,03/10/2025,CPCV,,Delivered in Full,"281,249","562,499","625,468","568,830",1,,"299,966",Gencay Evren,C-003170,Peddakotla Raviteja,535714
299869,ACUK - Three Mobile - CSIM Q325 - Sep12Oct01,11/09/2025,01/10/2025,CPCV,,Not Delivered in Full,"75,000","1,563,870","1,529,963","1,435,139",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299928,ACKR - Netpeak Kazakhstan EMEA - Asbis Kazakhstan - Sep20 - Sep30,09/23/2025,01/10/2025,CPCV,,Delivered in Full,"98,329","525,000","604,808","534,476",1,,"299,928",Gencay Evren,C-003099,Mohamed Arsath,500000
299728,ACUK - Royal Mail - Consumer Parcels - Sept 01 - Sept 30 - Burst 1,08/31/2025,09/30/2025,CPM,,Delivered in Full,"100,000","1,700,000","1,701,438","1,643,642",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299753,ACUK - Starcom UK EMEA - Stellantis Peugeot SUV Lions Emotion - Aug04 - Sep09,03/08/2025,09/30/2025,CPM,,Delivered in Full,0,"2,532,797","2,533,901","2,225,857",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299754,ACUK - Starcom UK EMEA - Stellantis Peugeot SUV Lions Information - Aug04 - Sep09,03/08/2025,09/30/2025,CPM,,Delivered in Full,0,"2,532,797","2,533,994","2,223,338",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299755,ACUK - Starcom UK EMEA - Stellantis Peugeot SUV Lions AV - Aug04 - Sep09,03/08/2025,09/30/2025,CPM,,Not Delivered in Full,"27,047","1,568,725","1,920","1,678",0,,#N/A,Not Found,Not Found,Not Found,Not Found
299921,ACCS - Group M - L’Oreal CZ - Sep17 - Sep30 - CZ,09/19/2025,09/30/2025,CPM,,Delivered in Full,"140,000","1,680,000","1,680,104",0,1,,"299,921",Sesil Kaprilyan,C-003107,Rajesh Kumar,1600000
